task_id,condition,q01_id,q01_url,q02_id,q02_url,q03_id,q03_url,q04_id,q04_url,q05_id,q05_url,q06_id,q06_url,q07_id,q07_url,q08_id,q08_url,q09_id,q09_url,q10_id,q10_url,q11_id,q11_url,q12_id,q12_url,q13_id,q13_url
table1_pilot_11,TABLE1_PILOT_V1,q01_s11,https://mingjiequinnbao.github.io/pilot/audio/q01/s11.wav,q02_s11,https://mingjiequinnbao.github.io/pilot/audio/q02/s11.wav,q03_s11,https://mingjiequinnbao.github.io/pilot/audio/q03/s11.wav,q04_s11,https://mingjiequinnbao.github.io/pilot/audio/q04/s11.wav,q05_s11,https://mingjiequinnbao.github.io/pilot/audio/q05/s11.wav,q06_s11,https://mingjiequinnbao.github.io/pilot/audio/q06/s11.wav,q07_s11,https://mingjiequinnbao.github.io/pilot/audio/q07/s11.wav,q08_s11,https://mingjiequinnbao.github.io/pilot/audio/q08/s11.wav,q09_s11,https://mingjiequinnbao.github.io/pilot/audio/q09/s11.wav,q10_s11,https://mingjiequinnbao.github.io/pilot/audio/q10/s11.wav,q11_s11,https://mingjiequinnbao.github.io/pilot/audio/q11/s11.wav,q12_s11,https://mingjiequinnbao.github.io/pilot/audio/q12/s11.wav,q13_s11,https://mingjiequinnbao.github.io/pilot/audio/q13/s11.wav
table1_pilot_12,TABLE1_PILOT_V1,q01_s12,https://mingjiequinnbao.github.io/pilot/audio/q01/s12.wav,q02_s12,https://mingjiequinnbao.github.io/pilot/audio/q02/s12.wav,q03_s12,https://mingjiequinnbao.github.io/pilot/audio/q03/s12.wav,q04_s12,https://mingjiequinnbao.github.io/pilot/audio/q04/s12.wav,q05_s12,https://mingjiequinnbao.github.io/pilot/audio/q05/s12.wav,q06_s12,https://mingjiequinnbao.github.io/pilot/audio/q06/s12.wav,q07_s12,https://mingjiequinnbao.github.io/pilot/audio/q07/s12.wav,q08_s12,https://mingjiequinnbao.github.io/pilot/audio/q08/s12.wav,q09_s12,https://mingjiequinnbao.github.io/pilot/audio/q09/s12.wav,q10_s12,https://mingjiequinnbao.github.io/pilot/audio/q10/s12.wav,q11_s12,https://mingjiequinnbao.github.io/pilot/audio/q11/s12.wav,q12_s12,https://mingjiequinnbao.github.io/pilot/audio/q12/s12.wav,q13_s12,https://mingjiequinnbao.github.io/pilot/audio/q13/s12.wav
table1_pilot_13,TABLE1_PILOT_V1,q01_s13,https://mingjiequinnbao.github.io/pilot/audio/q01/s13.wav,q02_s13,https://mingjiequinnbao.github.io/pilot/audio/q02/s13.wav,q03_s13,https://mingjiequinnbao.github.io/pilot/audio/q03/s13.wav,q04_s13,https://mingjiequinnbao.github.io/pilot/audio/q04/s13.wav,q05_s13,https://mingjiequinnbao.github.io/pilot/audio/q05/s13.wav,q06_s13,https://mingjiequinnbao.github.io/pilot/audio/q06/s13.wav,q07_s13,https://mingjiequinnbao.github.io/pilot/audio/q07/s13.wav,q08_s13,https://mingjiequinnbao.github.io/pilot/audio/q08/s13.wav,q09_s13,https://mingjiequinnbao.github.io/pilot/audio/q09/s13.wav,q10_s13,https://mingjiequinnbao.github.io/pilot/audio/q10/s13.wav,q11_s13,https://mingjiequinnbao.github.io/pilot/audio/q11/s13.wav,q12_s13,https://mingjiequinnbao.github.io/pilot/audio/q12/s13.wav,q13_s13,https://mingjiequinnbao.github.io/pilot/audio/q13/s13.wav
table1_pilot_14,TABLE1_PILOT_V1,q01_s14,https://mingjiequinnbao.github.io/pilot/audio/q01/s14.wav,q02_s14,https://mingjiequinnbao.github.io/pilot/audio/q02/s14.wav,q03_s14,https://mingjiequinnbao.github.io/pilot/audio/q03/s14.wav,q04_s14,https://mingjiequinnbao.github.io/pilot/audio/q04/s14.wav,q05_s14,https://mingjiequinnbao.github.io/pilot/audio/q05/s14.wav,q06_s14,https://mingjiequinnbao.github.io/pilot/audio/q06/s14.wav,q07_s14,https://mingjiequinnbao.github.io/pilot/audio/q07/s14.wav,q08_s14,https://mingjiequinnbao.github.io/pilot/audio/q08/s14.wav,q09_s14,https://mingjiequinnbao.github.io/pilot/audio/q09/s14.wav,q10_s14,https://mingjiequinnbao.github.io/pilot/audio/q10/s14.wav,q11_s14,https://mingjiequinnbao.github.io/pilot/audio/q11/s14.wav,q12_s14,https://mingjiequinnbao.github.io/pilot/audio/q12/s14.wav,q13_s14,https://mingjiequinnbao.github.io/pilot/audio/q13/s14.wav
table1_pilot_15,TABLE1_PILOT_V1,q01_s15,https://mingjiequinnbao.github.io/pilot/audio/q01/s15.wav,q02_s15,https://mingjiequinnbao.github.io/pilot/audio/q02/s15.wav,q03_s15,https://mingjiequinnbao.github.io/pilot/audio/q03/s15.wav,q04_s15,https://mingjiequinnbao.github.io/pilot/audio/q04/s15.wav,q05_s15,https://mingjiequinnbao.github.io/pilot/audio/q05/s15.wav,q06_s15,https://mingjiequinnbao.github.io/pilot/audio/q06/s15.wav,q07_s15,https://mingjiequinnbao.github.io/pilot/audio/q07/s15.wav,q08_s15,https://mingjiequinnbao.github.io/pilot/audio/q08/s15.wav,q09_s15,https://mingjiequinnbao.github.io/pilot/audio/q09/s15.wav,q10_s15,https://mingjiequinnbao.github.io/pilot/audio/q10/s15.wav,q11_s15,https://mingjiequinnbao.github.io/pilot/audio/q11/s15.wav,q12_s15,https://mingjiequinnbao.github.io/pilot/audio/q12/s15.wav,q13_s15,https://mingjiequinnbao.github.io/pilot/audio/q13/s15.wav
table1_pilot_16,TABLE1_PILOT_V1,q01_s16,https://mingjiequinnbao.github.io/pilot/audio/q01/s16.wav,q02_s16,https://mingjiequinnbao.github.io/pilot/audio/q02/s16.wav,q03_s16,https://mingjiequinnbao.github.io/pilot/audio/q03/s16.wav,q04_s16,https://mingjiequinnbao.github.io/pilot/audio/q04/s16.wav,q05_s16,https://mingjiequinnbao.github.io/pilot/audio/q05/s16.wav,q06_s16,https://mingjiequinnbao.github.io/pilot/audio/q06/s16.wav,q07_s16,https://mingjiequinnbao.github.io/pilot/audio/q07/s16.wav,q08_s16,https://mingjiequinnbao.github.io/pilot/audio/q08/s16.wav,q09_s16,https://mingjiequinnbao.github.io/pilot/audio/q09/s16.wav,q10_s16,https://mingjiequinnbao.github.io/pilot/audio/q10/s16.wav,q11_s16,https://mingjiequinnbao.github.io/pilot/audio/q11/s16.wav,q12_s16,https://mingjiequinnbao.github.io/pilot/audio/q12/s16.wav,q13_s16,https://mingjiequinnbao.github.io/pilot/audio/q13/s16.wav
table1_pilot_17,TABLE1_PILOT_V1,q01_s17,https://mingjiequinnbao.github.io/pilot/audio/q01/s17.wav,q02_s17,https://mingjiequinnbao.github.io/pilot/audio/q02/s17.wav,q03_s17,https://mingjiequinnbao.github.io/pilot/audio/q03/s17.wav,q04_s17,https://mingjiequinnbao.github.io/pilot/audio/q04/s17.wav,q05_s17,https://mingjiequinnbao.github.io/pilot/audio/q05/s17.wav,q06_s17,https://mingjiequinnbao.github.io/pilot/audio/q06/s17.wav,q07_s17,https://mingjiequinnbao.github.io/pilot/audio/q07/s17.wav,q08_s17,https://mingjiequinnbao.github.io/pilot/audio/q08/s17.wav,q09_s17,https://mingjiequinnbao.github.io/pilot/audio/q09/s17.wav,q10_s17,https://mingjiequinnbao.github.io/pilot/audio/q10/s17.wav,q11_s17,https://mingjiequinnbao.github.io/pilot/audio/q11/s17.wav,q12_s17,https://mingjiequinnbao.github.io/pilot/audio/q12/s17.wav,q13_s17,https://mingjiequinnbao.github.io/pilot/audio/q13/s17.wav
table1_pilot_18,TABLE1_PILOT_V1,q01_s18,https://mingjiequinnbao.github.io/pilot/audio/q01/s18.wav,q02_s18,https://mingjiequinnbao.github.io/pilot/audio/q02/s18.wav,q03_s18,https://mingjiequinnbao.github.io/pilot/audio/q03/s18.wav,q04_s18,https://mingjiequinnbao.github.io/pilot/audio/q04/s18.wav,q05_s18,https://mingjiequinnbao.github.io/pilot/audio/q05/s18.wav,q06_s18,https://mingjiequinnbao.github.io/pilot/audio/q06/s18.wav,q07_s18,https://mingjiequinnbao.github.io/pilot/audio/q07/s18.wav,q08_s18,https://mingjiequinnbao.github.io/pilot/audio/q08/s18.wav,q09_s18,https://mingjiequinnbao.github.io/pilot/audio/q09/s18.wav,q10_s18,https://mingjiequinnbao.github.io/pilot/audio/q10/s18.wav,q11_s18,https://mingjiequinnbao.github.io/pilot/audio/q11/s18.wav,q12_s18,https://mingjiequinnbao.github.io/pilot/audio/q12/s18.wav,q13_s18,https://mingjiequinnbao.github.io/pilot/audio/q13/s18.wav
table1_pilot_19,TABLE1_PILOT_V1,q01_s19,https://mingjiequinnbao.github.io/pilot/audio/q01/s19.wav,q02_s19,https://mingjiequinnbao.github.io/pilot/audio/q02/s19.wav,q03_s19,https://mingjiequinnbao.github.io/pilot/audio/q03/s19.wav,q04_s19,https://mingjiequinnbao.github.io/pilot/audio/q04/s19.wav,q05_s19,https://mingjiequinnbao.github.io/pilot/audio/q05/s19.wav,q06_s19,https://mingjiequinnbao.github.io/pilot/audio/q06/s19.wav,q07_s19,https://mingjiequinnbao.github.io/pilot/audio/q07/s19.wav,q08_s19,https://mingjiequinnbao.github.io/pilot/audio/q08/s19.wav,q09_s19,https://mingjiequinnbao.github.io/pilot/audio/q09/s19.wav,q10_s19,https://mingjiequinnbao.github.io/pilot/audio/q10/s19.wav,q11_s19,https://mingjiequinnbao.github.io/pilot/audio/q11/s19.wav,q12_s19,https://mingjiequinnbao.github.io/pilot/audio/q12/s19.wav,q13_s19,https://mingjiequinnbao.github.io/pilot/audio/q13/s19.wav
table1_pilot_20,TABLE1_PILOT_V1,q01_s20,https://mingjiequinnbao.github.io/pilot/audio/q01/s20.wav,q02_s20,https://mingjiequinnbao.github.io/pilot/audio/q02/s20.wav,q03_s20,https://mingjiequinnbao.github.io/pilot/audio/q03/s20.wav,q04_s20,https://mingjiequinnbao.github.io/pilot/audio/q04/s20.wav,q05_s20,https://mingjiequinnbao.github.io/pilot/audio/q05/s20.wav,q06_s20,https://mingjiequinnbao.github.io/pilot/audio/q06/s20.wav,q07_s20,https://mingjiequinnbao.github.io/pilot/audio/q07/s20.wav,q08_s20,https://mingjiequinnbao.github.io/pilot/audio/q08/s20.wav,q09_s20,https://mingjiequinnbao.github.io/pilot/audio/q09/s20.wav,q10_s20,https://mingjiequinnbao.github.io/pilot/audio/q10/s20.wav,q11_s20,https://mingjiequinnbao.github.io/pilot/audio/q11/s20.wav,q12_s20,https://mingjiequinnbao.github.io/pilot/audio/q12/s20.wav,q13_s20,https://mingjiequinnbao.github.io/pilot/audio/q13/s20.wav
